,Timestamp,Open,High,Low,Close,Volume,Timestamp2,avg,avg2,signal
0,1704426300,21705.8,21749.6,21698.2,21742.6,0,2024-01-05 09:15:00+05:30,,21742.6,0
1,1704426600,21742.2,21742.25,21721.5,21723.9,0,2024-01-05 09:20:00+05:30,,21741.86666666667,0
2,1704426900,21724.4,21729.2,21716.7,21722.9,0,2024-01-05 09:25:00+05:30,,21741.122875816996,0
3,1704427200,21724.3,21743.35,21722.25,21730.7,0,2024-01-05 09:30:00+05:30,,21740.71413558888,0
4,1704427500,21729.7,21739.5,21726.65,21732.7,0,2024-01-05 09:35:00+05:30,,21740.39985576187,0
5,1704427800,21734.1,21735.05,21724.05,21727.6,0,2024-01-05 09:40:00+05:30,,21739.897900633954,0
6,1704428100,21728.6,21731.95,21719.6,21721.2,0,2024-01-05 09:45:00+05:30,,21739.164649628703,0
7,1704428400,21720.1,21740.4,21720.1,21735.7,0,2024-01-05 09:50:00+05:30,,21739.02878101581,0
8,1704428700,21735.3,21742.9,21733.2,21740.8,0,2024-01-05 09:55:00+05:30,,21739.09824058382,1
9,1704429000,21740.4,21744.05,21734.7,21741.4,0,2024-01-05 10:00:00+05:30,,21739.188505658964,1
10,1704429300,21741.4,21741.6,21734.75,21740.2,0,2024-01-05 10:05:00+05:30,,21739.22817210371,1
11,1704429600,21739.2,21740.0,21728.95,21728.9,0,2024-01-05 10:10:00+05:30,,21738.8231457467,0
12,1704429900,21730.3,21735.95,21720.75,21727.8,0,2024-01-05 10:15:00+05:30,,21738.390865521338,0
13,1704430200,21727.0,21731.4,21723.4,21730.0,0,2024-01-05 10:20:00+05:30,,21738.06181197148,0
14,1704430500,21729.3,21734.65,21725.4,21733.4,0,2024-01-05 10:25:00+05:30,,21737.87899581574,0
15,1704430800,21733.2,21738.85,21731.65,21737.4,0,2024-01-05 10:30:00+05:30,,21737.860211666106,0
16,1704431100,21736.8,21742.85,21732.55,21736.9,0,2024-01-05 10:35:00+05:30,,21737.82255630665,0
17,1704431400,21736.6,21737.25,21701.15,21705.4,0,2024-01-05 10:40:00+05:30,,21736.551083510312,0
18,1704431700,21705.3,21705.45,21684.0,21687.9,0,2024-01-05 10:45:00+05:30,,21734.643197882455,0
19,1704432000,21687.6,21696.1,21671.25,21671.9,0,2024-01-05 10:50:00+05:30,21725.965,21732.182680318438,0
