,Current epoch time,Current epoch time.1,Open,High,Low,Close,volume,Date,Time,EMA_fast,EMA_slow,RSI,TR,ATR,Upper_band,Lower_band,Buy_Signal,Sell_Signal,Returns
0,2023-10-03 09:15:00+05:30,1696304700,100.0,105.0,48.0,57.55,1757950,2023-10-03,09:15:00,,,,,,,,0,0,
1,2023-10-03 09:16:00+05:30,1696304760,57.2,58.25,53.0,53.6,1343300,2023-10-03,09:16:00,,,,5.25,,,,0,0,0.0
2,2023-10-03 09:17:00+05:30,1696304820,53.15,54.6,52.25,53.65,1127750,2023-10-03,09:17:00,,,,2.3500000000000014,,,,0,0,0.0
3,2023-10-03 09:18:00+05:30,1696304880,53.35,54.95,52.4,53.5,1039050,2023-10-03,09:18:00,,,,2.5500000000000043,,,,0,0,0.0
4,2023-10-03 09:19:00+05:30,1696304940,53.25,54.35,52.95,53.25,909600,2023-10-03,09:19:00,,,,1.3999999999999986,,,,0,0,0.0
5,2023-10-03 09:20:00+05:30,1696305000,53.2,54.35,52.55,52.95,1482950,2023-10-03,09:20:00,,,,1.8000000000000043,,,,0,0,0.0
6,2023-10-03 09:21:00+05:30,1696305060,52.85,54.7,51.7,54.35,1077300,2023-10-03,09:21:00,,,,3.0,,,,0,0,0.0
7,2023-10-03 09:22:00+05:30,1696305120,53.9,56.15,52.6,54.5,857850,2023-10-03,09:22:00,,,,3.549999999999997,,,,0,0,0.0
8,2023-10-03 09:23:00+05:30,1696305180,54.25,55.1,52.6,52.6,560550,2023-10-03,09:23:00,,,,2.5,,,,0,0,0.0
9,2023-10-03 09:24:00+05:30,1696305240,52.6,54.5,51.4,52.15,587600,2023-10-03,09:24:00,,,,3.1000000000000014,,,,0,0,0.0
10,2023-10-03 09:25:00+05:30,1696305300,51.7,52.75,50.65,50.7,888400,2023-10-03,09:25:00,,,,2.1000000000000014,,,,0,0,0.0
11,2023-10-03 09:26:00+05:30,1696305360,50.15,52.2,49.65,49.8,1361250,2023-10-03,09:26:00,,,,2.5500000000000043,,,,0,0,0.0
12,2023-10-03 09:27:00+05:30,1696305420,50.0,52.35,49.9,52.15,505650,2023-10-03,09:27:00,,,,2.5500000000000043,,,,0,0,0.0
13,2023-10-03 09:28:00+05:30,1696305480,51.55,53.75,51.55,52.85,471350,2023-10-03,09:28:00,,,33.21428571428572,2.200000000000003,,,,0,0,0.0
14,2023-10-03 09:29:00+05:30,1696305540,52.85,52.9,50.45,51.4,415700,2023-10-03,09:29:00,,,30.09708737864078,2.4499999999999957,2.667857142857144,44.896428571428565,58.453571428571436,0,0,0.0
15,2023-10-03 09:30:00+05:30,1696305600,51.15,51.7,50.45,50.7,536450,2023-10-03,09:30:00,,,38.114754098360656,1.25,2.3821428571428584,44.55357142857143,57.596428571428575,0,0,0.0
16,2023-10-03 09:31:00+05:30,1696305660,50.35,51.0,48.85,50.0,800750,2023-10-03,09:31:00,,,35.797665369649806,2.1499999999999986,2.3678571428571438,43.89642857142857,55.953571428571436,0,0,0.0
17,2023-10-03 09:32:00+05:30,1696305720,50.05,51.85,49.25,50.25,450550,2023-10-03,09:32:00,,,37.45173745173745,2.6000000000000014,2.3714285714285723,44.73571428571428,56.364285714285714,0,0,0.0
18,2023-10-03 09:33:00+05:30,1696305780,50.1,50.5,48.85,49.15,446750,2023-10-03,09:33:00,,,35.144927536231876,1.6499999999999986,2.389285714285715,43.332142857142856,56.017857142857146,0,0,0.0
19,2023-10-03 09:34:00+05:30,1696305840,48.8,48.8,45.7,45.85,1053950,2023-10-03,09:34:00,,,28.86904761904762,3.4499999999999957,2.507142857142857,41.278571428571425,53.221428571428575,0,0,0.0
20,2023-10-03 09:35:00+05:30,1696305900,45.4,46.3,44.6,46.15,808750,2023-10-03,09:35:00,,,23.88535031847134,1.6999999999999957,2.414285714285714,39.05714285714286,51.84285714285714,0,0,0.0
21,2023-10-03 09:36:00+05:30,1696305960,46.3,47.25,46.0,46.55,442650,2023-10-03,09:36:00,,,25.07836990595611,1.25,2.25,40.5,52.75,0,0,0.0
22,2023-10-03 09:37:00+05:30,1696306020,46.4,46.5,45.15,45.95,503050,2023-10-03,09:37:00,,,27.303754266211612,1.3999999999999986,2.1714285714285713,39.98571428571429,51.66428571428571,0,0,0.0
23,2023-10-03 09:38:00+05:30,1696306080,46.15,46.3,45.25,45.4,325850,2023-10-03,09:38:00,,,27.11864406779661,1.0499999999999972,2.0249999999999995,40.225,51.324999999999996,0,0,0.0
24,2023-10-03 09:39:00+05:30,1696306140,45.75,46.0,43.0,43.0,755450,2023-10-03,09:39:00,,,25.477707006369414,3.0,2.089285714285714,39.73214285714286,49.26785714285714,0,0,0.0
25,2023-10-03 09:40:00+05:30,1696306200,43.0,43.05,41.45,41.55,904550,2023-10-03,09:40:00,,,24.615384615384613,1.5999999999999943,2.02142857142857,36.98571428571429,47.51428571428571,0,0,0.0
26,2023-10-03 09:41:00+05:30,1696306260,41.25,43.45,40.65,43.25,1082800,2023-10-03,09:41:00,,,21.474358974358978,2.8000000000000043,2.0392857142857133,37.33214285714286,46.76785714285714,0,0,0.0
27,2023-10-03 09:42:00+05:30,1696306320,43.25,43.25,41.5,43.25,653750,2023-10-03,09:42:00,,,17.785234899328856,1.75,2.007142857142856,37.228571428571435,47.521428571428565,0,0,0.0
28,2023-10-03 09:43:00+05:30,1696306380,43.55,44.65,43.2,44.6,643350,2023-10-03,09:43:00,,,27.02702702702703,1.4499999999999957,1.9357142857142844,38.84285714285714,49.00714285714285,0,0,0.0
29,2023-10-03 09:44:00+05:30,1696306440,44.75,49.95,44.75,49.3,1460100,2023-10-03,09:44:00,,,46.27659574468083,5.350000000000001,2.2285714285714273,43.26428571428572,51.43571428571428,0,0,0.0
30,2023-10-03 09:45:00+05:30,1696306500,49.75,49.75,45.5,45.75,728050,2023-10-03,09:45:00,,,40.184757505773675,4.25,2.3785714285714272,42.61428571428572,52.63571428571428,0,0,0.0
