Current epoch time,Current epoch time.1,Open,High,Low,Close,volume,Date,Time,avg,avg2,color
2023-12-06 09:15:00+05:30,1701834300,20950.75,20950.75,20915.2,20944.75,0,2023-12-06,09:15:00,,20944.75,0
2023-12-06 09:16:00+05:30,1701834360,20945.4,20956.0,20940.1,20941.7,0,2023-12-06,09:16:00,,20944.630392156865,0
2023-12-06 09:17:00+05:30,1701834420,20941.25,20943.35,20924.6,20926.8,0,2023-12-06,09:17:00,,20943.93116109189,0
2023-12-06 09:18:00+05:30,1701834480,20928.5,20936.85,20925.25,20934.55,0,2023-12-06,09:18:00,,20943.56327242162,0
2023-12-06 09:19:00+05:30,1701834540,20933.65,20937.1,20928.95,20933.8,0,2023-12-06,09:19:00,,20943.18039899332,0
2023-12-06 09:20:00+05:30,1701834600,20933.45,20934.0,20928.3,20931.3,0,2023-12-06,09:20:00,,20942.71450099358,0
2023-12-06 09:21:00+05:30,1701834660,20930.65,20939.5,20929.3,20935.85,0,2023-12-06,09:21:00,,20942.445304876186,0
2023-12-06 09:22:00+05:30,1701834720,20935.3,20940.75,20931.55,20931.6,0,2023-12-06,09:22:00,,20942.01999880261,0
2023-12-06 09:23:00+05:30,1701834780,20931.65,20940.05,20930.15,20939.8,0,2023-12-06,09:23:00,,20941.93294002604,0
2023-12-06 09:24:00+05:30,1701834840,20940.1,20940.9,20929.95,20935.25,0,2023-12-06,09:24:00,,20941.670863946587,0
2023-12-06 09:25:00+05:30,1701834900,20934.95,20937.3,20926.2,20927.3,0,2023-12-06,09:25:00,,20941.107300654563,0
2023-12-06 09:26:00+05:30,1701834960,20928.15,20928.15,20910.6,20912.85,0,2023-12-06,09:26:00,,20939.99917121713,0
2023-12-06 09:27:00+05:30,1701835020,20912.45,20921.95,20911.25,20917.35,0,2023-12-06,09:27:00,,20939.1109684243,0
2023-12-06 09:28:00+05:30,1701835080,20917.1,20929.35,20917.1,20928.45,0,2023-12-06,09:28:00,,20938.69289123119,0
2023-12-06 09:29:00+05:30,1701835140,20928.5,20934.55,20925.1,20933.8,0,2023-12-06,09:29:00,,20938.501013143694,0
2023-12-06 09:30:00+05:30,1701835200,20931.2,20931.2,20915.75,20926.0,0,2023-12-06,09:30:00,,20938.010777334137,0
2023-12-06 09:31:00+05:30,1701835260,20926.05,20926.05,20904.75,20907.25,0,2023-12-06,09:31:00,,20936.804472340642,0
2023-12-06 09:32:00+05:30,1701835320,20908.1,20914.55,20893.2,20906.0,0,2023-12-06,09:32:00,,20935.59645381748,0
2023-12-06 09:33:00+05:30,1701835380,20907.7,20918.85,20905.7,20907.95,0,2023-12-06,09:33:00,,20934.512279157974,0
2023-12-06 09:34:00+05:30,1701835440,20906.9,20910.9,20900.45,20908.3,0,2023-12-06,09:34:00,20926.532499999998,20933.484346641977,0
