,Timestamp,Open,High,Low,Close,Volume,Timestamp2,HMA,TEMA,TilsonT3,SecondTilsonT3,col,col2
43,1704698400,21591.1,21591.4,21580.4,21585.7,0,2024-01-08 12:50:00+05:30,21592.261367965366,21583.354922549115,21629.590713964564,21683.815738958343,red,red
44,1704698700,21585.1,21585.1,21566.05,21569.2,0,2024-01-08 12:55:00+05:30,21591.40472727273,21578.18634240519,21626.502671134996,21681.156849125575,red,red
45,1704699000,21568.6,21586.0,21566.1,21577.2,0,2024-01-08 13:00:00+05:30,21588.958575757577,21576.224624133683,21623.518348535756,21678.483789231617,lime,lime
46,1704699300,21577.8,21581.2,21571.9,21575.2,0,2024-01-08 13:05:00+05:30,21585.715376623375,21574.299039552065,21620.624643443683,21675.79947639941,lime,lime
47,1704699600,21574.2,21579.1,21568.45,21575.8,0,2024-01-08 13:10:00+05:30,21582.41454978355,21573.07345352607,21617.818225006413,21673.107707549792,lime,lime
48,1704699900,21575.6,21580.1,21572.9,21578.0,0,2024-01-08 13:15:00+05:30,21579.645056277055,21572.830174029314,21615.106417465562,21670.413559100936,red,red
49,1704700200,21579.2,21592.9,21576.65,21578.4,0,2024-01-08 13:20:00+05:30,21577.14411255411,21572.914290391815,21612.497545913327,21667.722335742874,red,red
50,1704700500,21579.1,21592.3,21578.8,21582.4,0,2024-01-08 13:25:00+05:30,21575.591190476192,21574.18739740481,21610.01001083198,21665.040868550557,red,red
51,1704700800,21582.3,21596.65,21580.75,21586.2,0,2024-01-08 13:30:00+05:30,21575.37532900433,21576.36582073759,21607.66669643483,21662.37701600012,red,red
52,1704701100,21586.8,21586.85,21574.05,21577.9,0,2024-01-08 13:35:00+05:30,21575.416926406928,21576.126225515654,21605.45745881449,21659.734530429483,red,red
53,1704701400,21578.2,21581.8,21557.9,21562.2,0,2024-01-08 13:40:00+05:30,21574.060848484853,21571.972576239245,21603.330450814177,21657.110895499332,red,red
54,1704701700,21562.2,21578.45,21552.3,21574.6,0,2024-01-08 13:45:00+05:30,21573.131290043297,21571.90558972709,21601.289436242412,21654.509774449525,red,red
